feature,bull_mean,bear_mean,flat_mean,separation,divergence,score
total_depth,30735.48172897196,30259.3318194707,31900.500653608768,2806.187758774875,476.1499095012623,3282.3376682761373
volume_ma_60,30956.98524338006,30380.703131308805,31879.673683105855,2421.658991522847,576.2821120712542,2997.941103594101
volume_slope,-221.50351440809985,-121.37131183810259,20.826970502910772,384.52876725202395,100.13220256999726,484.66096982202123
up_ticks_30,2.3391744548286604,3.2041587901701325,1.6518564669691012,2.2396203110605906,0.8649843353414721,3.1046046464020627
down_ticks_30,2.580607476635514,2.6138941398865785,1.6882848854188977,1.817931845684297,0.03328666325106466,1.8512185089353617
mid_price,124.59859618380061,125.01183837429112,124.87758639823991,0.41324219049050726,0.41324219049050726,0.8264843809810145
depth_ratio,1.1633208647455033,1.1585863981066675,1.0539947486658974,0.2139177655203761,0.00473446663883581,0.21865223215921192
imbalance_price_div,-0.06814641744548286,0.022684310018903593,-0.011876715796032009,0.09083072746438645,0.09083072746438645,0.1816614549287729
imbalance_ma_30,0.05222551079710494,0.05382576516385792,0.003964264154700688,0.09812274765156148,0.0016002543667529776,0.09972300201831447
imbalance,0.05337008849500505,0.0438569593853208,0.00424450562684548,0.08873803662663488,0.00951312910968425,0.09825116573631912
price_up_tick,0.08138629283489096,0.1001890359168242,0.05515858336091587,0.07125816202988342,0.018802743081933235,0.09006090511181665
price_down_tick,0.07904984423676012,0.09924385633270322,0.05619049473335799,0.06591271110274735,0.020194012095943098,0.08610672319869045
tick_imbalance,-0.008047767393561785,0.019675488342785128,-0.0012142806149932186,0.027723255736346913,0.027723255736346913,0.055446511472693825
breakout_signal,0.03115264797507788,0.048204158790170135,0.025427853819045578,0.02850109912715686,0.017051510815092253,0.04555260994224911
price_vol_60,0.027268650438882863,0.029612713388305668,0.017355273568580288,0.022170816690027954,0.002344062949422805,0.02451487963945076
imbalance_slope_30,0.0011445776979000992,-0.009968805778537121,0.0002802414721447893,0.01111338347643722,0.01111338347643722,0.02222676695287444
price_vol_30,0.017846083627261977,0.020307135179021926,0.011416634746350912,0.01531994931358208,0.002461051551759949,0.01778100086534203
volume_ratio,0.9940358189679526,0.9972586500048942,1.0014310434022575,0.011567617831668264,0.0032228310369416535,0.014790448868609918
depth_change_30,0.0040094857698210066,0.003287156345252258,0.0043849594402655375,0.0014732767654578103,0.0007223294245687485,0.002195606190026559
spread_percentile,1.0000455867665012,1.0009624778587753,1.0000021989001404,0.0010036668249957525,0.000916891092274108,0.0019205579172698606
price_mom_60,-4.6223728620879364e-05,0.00022533769758310387,-5.492984744408996e-06,0.0002715614262039832,0.00027156142620398326,0.0005431228524079665
price_mom_30,-4.987102815685744e-05,0.00012519516814770955,-2.081242688753595e-06,0.00017506619630456698,0.00017506619630456698,0.00035013239260913397
spread_ma_60,0.00807987714174455,0.008052681702901906,0.008008187915603928,0.0001161830134385998,2.719543884264347e-05,0.00014337845228124327
spread_pct,0.008079419392523365,0.008052732986767485,0.0080082054866533,0.00011574140598425049,2.6686405755880008e-05,0.0001424278117401305
price_mom_10,-5.6433241399211266e-06,2.0319742240868434e-05,-4.6608437018214234e-07,2.596306638078956e-05,2.596306638078956e-05,5.192613276157912e-05
